venue,city,count(*)
"Jahrhundert Halle","Frankfurt, DE",1
"Jai-Alai Fronton","Miami, FL",3
"Joe Louis Arena","Detroit, MI",1
"John F. Kennedy Stadium","Philadelphia, PA",1
"KQED Studios","San Francisco, CA",1
"Kansas City Municipal Auditorium","Kansas City, MO",2
"Kezar Stadium","San Francisco, CA",2
"Kiel Auditorium","St. Louis, MO",4
"Kingswood Music Theater","Toronto, ON",1
"Kingswood Theater","Maple, ON",1
"Knickerbocker Arena","Albany, NY",9
"L.A. Memorial Coliseum","Los Angeles, CA",1
"Labor Temple","Minneapolis, MN",1
"Laguna Seca","Salinas, CA",3
"Laguna Seca Raceway","Monterey, CA",2
"Lakefront Arena (University of New Orleans)","New Orleans, LA",1
"Lakeland Civic Center","Lakeland, FL",3
"Lane Community College","Eugene, OR",1
"Lindley Meadows (Golden Gate Park)","San Francisco, CA",1
"Lloyd Noble Center (U of Oklahoma)","Norman, OK",1
"Long Beach","Long Beach, CA",1
"Long Beach Arena","Long Beach, CA",12
"Los Angeles Sports Arena","Los Angeles, CA",7
"Loyola College","Chicago, IL",1
MIT,"Cambridge, MA",1
"Madison Square Garden","New York City, NY",1
"Madison Square Garden","New York, NY",46
"Manhattan Center","New York, NY",2
"Manor Downs","Austin, TX",5
"Marin County Veteran's Auditorium","San Rafael, CA",6
"Market Square Arena","Indianapolis, IN",2
"Max Yasgur's Farm","Bethel, NY",1
"McArthur Court (U of Oregon)","Eugene, OR",2
"McGaw Memorial Hall","Northwestern U., Evanston, IL",1
"McNichols Arena","Denver, CO",3
"McNichols Sports Arena","Denver, CO",6
"Memorial Auditorium","Dallas, TX",1
"Memorial Auditorium","Utica, NY",2
"Memorial Coliseum","Portland, OR",1
"Memorial Coliseum (State Fairgrounds)","Jackson, MS",1
"Memorial Coliseum (U of Alabama)","Tuscaloosa, AL",1
"Memorial Hall","Kansas City, MO",2
MemorialAuditorium,"Sacramento, CA",1
"Merriweather Post Pavilion","Columbia, MD",6
"Metropolitan Center","Minneapolis, MN",1
"Metropolitan Sports Center","Bloomington, MN",1
"Miami Arena","Miami, FL",6
"Mill Valley Recreation Center","Mill Valley, CA",1
"Milwaukee Auditorium","Milwaukee, WI",2
"Mississippi River Festival","Edwardsville, IL",1
"Monterey Performing Arts Center","Monterey, CA",1
"Moody Coliseum (SMU)","Dallas, TX",1
"Morgantown Civic Center","Morgantown, WV",1
"Moscone Center","San Francisco, CA",1
"Municipal Auditorium","Austin, TX",2
"Municipal Auditorium","Eureka, CA",1
"Music Mall","Cincinnati, OH",1
Musikhalle,"Hamburg, DE",1
"NBC Studios","New York, NY",4
"Nashville Municipal Auditorium","Nashville, TN",2
"Nassau Coliseum","Uniondale, NY",29
"Nassau Veterans Memorial Coliseum","Uniondale , NY",1
"Nassau Veterans Memorial Coliseum","Uniondale, NY",4
"Nevada County Fairgrounds","Grass Valley, CA",1
"Niagara Falls Convention Center","Niagara Falls, NY",1
"Northrup Auditorium","Minneapolis, MN",1
"Oakland Auditorium Arena","Oakland, CA",15
"Oakland Coliseum","Oakland, CA",30
"Oakland Coliseum Arena","Oakland, CA",9
"Oakland Coliseum Stadium","Oakland, CA",2
"Oakland-Alameda County Coliseum Arena","Oakland, CA",6
"Oklahoma City Music Hall","Oklahoma City, OK",2
"Old Renaissance Faire Grounds","Veneta, OR",1
"Olympia Halle","Munich, XG",2
"Olympia Theater","Paris, FR",2
"Olympic Center","Lake Placid, NY",1
"Omaha Auditorium","Omaha, NE",1
"Omni Coliseum","Atlanta, GA",1
"Onondaga County War Memorial","Syracuse, NY",2
"Onondaga War Memorial Aud.","Syracuse, NY",1
"Onondaga War Memorial Auditorium","Syracuse, NY",3
"Oregon County Fair Site","Veneta, OR",1
"Orlando Arena","Orlando, FL",4
"Orpheum Theatre","San Francisco, CA",6
"Oxford Plains Speedway","Oxford, ME",2
P.N.E,"Coliseum, Vancouver, BC",1
"P.N.E. Coliseum","Vancouver, BC",1
