Venue,City,Venue Count,Edit Venue,Edit City,Comments,,ct,st,ln st
Blossom Music Center,"Cuyahoga Falls, OH",2,,,ok,,Cuyahoga Falls,OH,2
Dallas Convention Center,"Dallas, TX",1,,,,,Dallas,TX,2
Memorial Auditorium,"Dallas, TX",1,,,,,Dallas,TX,2
Moody Coliseum (SMU),"Dallas, TX",1,,,,,Dallas,TX,2
Reunion Arena,"Dallas, TX",1,,,,,Dallas,TX,2
Cow Palace,"Daly City, CA",2,,,,,Daly City,CA,2
Recreation Hall (UC Davis),"Davis, CA",1,,,,,Davis,CA,2
Hara Arena,"Dayton, OH",1,,,,,Dayton,OH,2
Field House (Northern Illinois U),"De Kalb, IL",1,,,,,De Kalb,IL,2
2,"Deer Creek, Noblesville, IN",2,,,,,Deer Creek,Noblesville,11
Denver Coliseum,"Denver, CO",2,,,,,Denver,CO,2
Hile High Stadium,"Denver, CO",1,,,,,Denver,CO,2
McNichols Arena,"Denver, CO",3,,,,,Denver,CO,2
McNichols Sports Arena,"Denver, CO",6,,,,,Denver,CO,2
Des Moines Civic Center,"Des Moines, IA",2,,,,,Des Moines,IA,2
State Fairgrounds,"Des Moines, IA",2,,,,,Des Moines,IA,2
COBO Arena,"Detroit, MI",2,,,ok,,Detroit,MI,2
Ford Auditorium,"Detroit, MI",1,,,,,Detroit,MI,2
Joe Louis Arena,"Detroit, MI",1,,,,,Detroit,MI,2
Glen Helen Regional Park,"Devore, CA",1,,,,,Devore,CA,2
Boreal Ridge Ski Resort,Donner,1,,"Truckee, CA",e,,Donner,,0
Cameron Indoor Stadium,"Duke U, Durham, NC",1,Cameron Indoor Stadium (Duke Univ.) ,"Durham, NC",e,,Duke U,Durham,6
Cameron Indoor Stadium (Duke U),"Durham, NC",2,Cameron Indoor Stadium (Duke Univ.) ,,e,,Durham,NC,2
Cameron Indoor Stadium (Duke Univ.) ,"Durham, NC",1,,,ok,,Durham,NC,2
Rheinhalle,"Dusseldorf, DE",1,,,,,Dusseldorf,DE,2
Brendan Byrne Arena,"East Rutheford, NJ",2,,"East Rutherford, NJ",e,,East Rutheford,NJ,2
Brendan Byrne Arena,"East Rutherford, NJ",12,,,ok,,East Rutherford,NJ,2
Giant's Stadium,"East Rutherford, NJ",2,Giants Stadium (Meadowlands Sports Complex),,e,,East Rutherford,NJ,2
Giants Stadium,"East Rutherford, NJ",6,Giants Stadium (Meadowlands Sports Complex),,e,,East Rutherford,NJ,2
Giants Stadium (Meadowlands Sports Complex),"East Rutherford, NJ",4,,,ok,,East Rutherford,NJ,2
Alpine Valley Music Theater,"East Troy, WI",13,,,ok,,East Troy,WI,2
Alpine Valley Music Theatre,"East Troy, WI",3,Alpine Valley Music Theater,,e,,East Troy,WI,2
Playhouse Theater,"Edinburgh, XS",1,,,,,Edinburgh,XS,2
Mississippi River Festival,"Edwardsville, IL",1,,,,,Edwardsville,IL,2
County Coliseum,"El Paso, TX",1,,,,,El Paso,TX,2
Raceway Park,"Englishtown, NJ",1,,,,,Englishtown,NJ,2
Gruga Halle,"Essen, DE",1,,,ok,,Essen,DE,2
Gruga Halle,"Essen, XG",1,,"Essen, DE",e,,Essen,XG,2
Autzen Stadium,"Eugene, OR",8,Autzen Stadium (U of Oregon),,e,,Eugene,OR,2
Autzen Stadium (U of Oregon),"Eugene, OR",2,,,ok,,Eugene,OR,2
Lane Community College,"Eugene, OR",1,,,,,Eugene,OR,2
McArthur Court (U of Oregon),"Eugene, OR",2,,,,,Eugene,OR,2
Silva Hall (Hult Center),"Eugene, OR",6,,,,,Eugene,OR,2
Municipal Auditorium,"Eureka, CA",1,,,,,Eureka,CA,2
Foxboro Stadium,"Foxboro, MA",1,,,,,Foxboro,MA,2
Sullivan Stadium,"Foxboro, MA",1,,,,,Foxboro,MA,2
Sullivan Stadium,"Foxborough, MA",1,,,,,Foxborough,MA,2
Dijon,FR,1,,,,,FR,,0
Fest Halle,"Frankfurt, DE",1,,,,,Frankfurt,DE,2
Jahrhundert Halle,"Frankfurt, DE",1,,,,,Frankfurt,DE,2
Selland Arena,"Fresno, CA",2,,,,,Fresno,CA,2
